full_name,course_opted,mobile_no,enrollment_date,enrolled
Aarav Sharma,JEE,9876543210,12-01-2024,1
Isha Patel,NEET,9012345678,15-01-2024,1
Rohan Verma,JEE,9876501234,18-01-2024,0
Priya Singh,NEET,9876123456,22-01-2024,1
Aditya Kumar,JEE,9012987654,25-01-2024,1
Kavya Gupta,NEET,9876540987,28-01-2024,0
Arjun Nair,JEE,6012349876,30-01-2024,1
Sneha Iyer,NEET,9812347650,02-02-2024,1
Rahul Mehta,JEE,9876098765,05-02-2024,0
Ananya Reddy,NEET,9012675432,09-02-2024,1
Ravi Malhotra,JEE,9876012345,12-02-2024,1
Nisha Kapoor,NEET,9876023456,14-02-2024,0
Amit Yadav,JEE,9876034567,16-02-2024,1
Pooja Mishra,NEET,9876045678,18-02-2024,1
Vikram Sinha,JEE,9876056789,20-02-2024,0
Meera Joshi,NEET,9876067890,22-02-2024,1
Kunal Thakur,JEE,9876078901,24-02-2024,1
Tanvi Desai,NEET,9876089012,26-02-2024,0
Rajat Saxena,JEE,9876090123,28-02-2024,1
Simran Kaur,NEET,9876101234,01-03-2024,1
Harshit Bansal,JEE,9876112345,03-03-2024,0
Neha Chawla,NEET,9876123457,05-03-2024,1
Siddharth Jain,JEE,9876134568,07-03-2024,1
Aarohi Deshmukh,NEET,9876145679,09-03-2024,0
Prakash Rao,JEE,9876156780,11-03-2024,1
Ritu Malhotra,NEET,9876167891,13-03-2024,1
Devansh Gupta,JEE,9876178902,15-03-2024,0
Ankita Sharma,NEET,9876189013,17-03-2024,1
Chetan Agarwal,JEE,9876190124,19-03-2024,1
Swati Tiwari,NEET,9876201235,21-03-2024,0
Varun Khanna,JEE,9876212346,23-03-2024,1
Shruti Pandey,NEET,9876223457,25-03-2024,1
Abhishek Reddy,JEE,9876234568,27-03-2024,0
Diya Menon,NEET,9876245679,29-03-2024,1
Parth Sharma,JEE,9876256780,31-03-2024,1
Kiran Bhatia,NEET,9876267891,02-04-2024,0
